nullrtA1a2b0,rtA1a2b1,rtA1a2b2,rtA1a2b3,rtA1a2b4,rtA1a2b5,rtA1a2b6,rtA1a2b7,rtA1a2b8,rtA1a2b9,rtA1a2b10,rtA1a2b11,rtA1a2b12,rtA1a2b13,rtA1a2b14,rtA1a2b15,rtA1a2b16,rtA1a2b17,rtA1a2b18,rtA1a2b19,rtA1a2b20,rtA1a2b21,rtA1a2b22,rtA1a2b23,rtA1a2b24,rtA1a2b25,rtA1a2b26,rtA1a2b27,rtA1a2b28,rtA1a2b29,rtA1a2b30,rtA1a2b31,rtA1a2b32,rtA1a2b33,rtA1a2b34,rtA1a2b35,rtA1a2b36,rtA1a2b37,rtA1a2b38,rtA1a2b39,rtA1a2b40,rtA1a2b41,rtA1a2b42,rtA1a2b43,rtA1a2b44,rtA1a2b45,rtA1a2b46,rtA1a2b47,rtA1a2b48,rtA1a2b49,rtA1a2b50,rtA1a2b51,rtA1a2b52,rtA1a2b53,rtA1a2b54,rtA1a2b55,rtA1a2b56,rtA1a2b57,rtA1a2b58,rtA1a2b59,rtA1a2b60,rtA1a2b61,rtA1a2b62,rtA1a2b63,rtA1a2b64,rtA1a2b65,rtA1a2b66,rtA1a2b67,rtA1a2b68,rtA1a2b69,rtA1a2b70,rtA1a2b71,rtA1a2b72,rtA1a2b73,rtA1a2b74,rtA1a2b75,rtA1a2b76,rtA1a2b77,rtA1a2b78,rtA1a2b79,rtA1a2b80,rtA1a2b81,rtA1a2b82,rtA1a2b83,rtA1a2b84,rtA1a2b85,rtA1a2b86,rtA1a2b87,rtA1a2b88,rtA1a2b89,rtA1a2b90,rtA1a2b91,rtA1a2b92,rtA1a2b93,rtA1a2b94,rtA1a2b95,rtA1a2b96,rtA1a2b97,rtA1a2b98,rtA1a2b99,rtA1a2b100,rtA1a2b101,rtA1a2b102,rtA1a2b103,rtA1a2b104,rtA1a2b105,rtA1a2b106,rtA1a2b107,rtA1a2b108,rtA1a2b109,rtA1a2b110,rtA1a2b111,rtA1a2b112,rtA1a2b113,rtA1a2b114,rtA1a2b115,rtA1a2b116,rtA1a2b117,rtA1a2b118,rtA1a2b119,rtA1a2b120,rtA1a2b121,rtA1a2b122,rtA1a2b123,rtA1a2b124,rtA1a2b125,rtA1a2b126,rtA1a2b127,rtA1a2b128,rtA1a2b129,rtA1a2b130,rtA1a2b131,rtA1a2b132,rtA1a2b133,rtA1a2b134,rtA1a2b135,rtA1a2b136,rtA1a2b137,rtA1a2b138,rtA1a2b139,rtA1a2b140,rtA1a2b141,rtA1a2b142,rtA1a2b143,rtA1a2b144,rtA1a2b145,rtA1a2b146,rtA1a2b147,rtA1a2b148,rtA1a2b149,rtA1a2b150,rtA1a2b151,rtA1a2b152,rtA1a2b153,rtA1a2b154,rtA1a2b155,rtA1a2b156,rtA1a2b157,rtA1a2b158,rtA1a2b159,rtA1a2b160,rtA1a2b161,rtA1a2b162,rtA1a2b163,rtA1a2b164,rtA1a2b165,rtA1a2b166,rtA1a2b167,rtA1a2b168,rtA1a2b169,rtA1a2b170,rtA1a2b171,rtA1a2b172,rtA1a2b173,rtA1a2b174,rtA1a2b175,rtA1a2b176,rtA1a2b177,rtA1a2b178,rtA1a2b179,rtA1a2b180,rtA1a2b181,rtA1a2b182,rtA1a2b183,rtA1a2b184,rtA1a2b185,rtA1a2b186,rtA1a2b187,rtA1a2b188,rtA1a2b189,rtA1a2b190,rtA1a2b191,rtA1a2b192,rtA1a2b193,rtA1a2b194,rtA1a2b195,rtA1a2b196,rtA1a2b197,rtA1a2b198,rtA1a2b199,rtA1a2b200,rtA1a2b201,rtA1a2b202,rtA1a2b203,rtA1a2b204,rtA1a2b205,rtA1a2b206,rtA1a2b207,rtA1a2b208,rtA1a2b209,rtA1a2b210,rtA1a2b211,rtA1a2b212,rtA1a2b213,rtA1a2b214,rtA1a2b215,rtA1a2b216,rtA1a2b217,rtA1a2b218,rtA1a2b219,rtA1a2b220,rtA1a2b221,rtA1a2b222,rtA1a2b223,rtA1a2b224,rtA1a2b225,rtA1a2b226,rtA1a2b227,rtA1a2b228,rtA1a2b229,rtA1a2b230,rtA1a2b231,rtA1a2b232,rtA1a2b233,rtA1a2b234,rtA1a2b235,rtA1a2b236,rtA1a2b237,rtA1a2b238,rtA1a2b239,rtA1a2b240,rtA1a2b241,rtA1a2b242,rtA1a2b243,rtA1a2b244,rtA1a2b245,rtA1a2b246,rtA1a2b247,rtA1a2b248,rtA1a2b249,rtA1a2b250,rtA1a2b251,rtA1a2b252,rtA1a2b253,rtA1a2b254,rtA1a2b255,rtA1a2b256,rtA1a2b257,rtA1a2b258,rtA1a2b259,rtA1a2b260,rtA1a2b261,rtA1a2b262,rtA1a2b263,rtA1a2b264,rtA1a2b265,rtA1a2b266,rtA1a2b267,rtA1a2b268,rtA1a2b269,rtA1a2b270,rtA1a2b271,rtA1a2b272,rtA1a2b273,rtA1a2b274,rtA1a2b275,rtA1a2b276,rtA1a2b277,rtA1a2b278,rtA1a2b279,rtA1a2b280,rtA1a2b281,rtA1a2b282,rtA1a2b283,rtA1a2b284,rtA1a2b285,rtA1a2b286,rtA1a2b287,rtA1a2b288,rtA1a2b289,rtA1a2b290,rtA1a2b291,rtA1a2b292,rtA1a2b293,rtA1a2b294,rtA1a2b295,rtA1a2b296,rtA1a2b297,rtA1a2b298,rtA1a2b299,rtA1a2b300
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
0,13,314,20829,21031,21241,21441,21639,21921,22218,22521,22820,23120,524,23423,23763,24163,24564,24968,25364,25764,26168,26568,26968,724,27364,27765,28165,28569,28965,29369,29765,30167,30572,30972,926,31372,31772,32168,32572,32968,33368,33768,34168,34577,34977,1225,35379,35703,36003,36303,36603,36903,37206,37506,37803,38106,1532,38406,38577,38678,38778,38880,38981,39081,39181,39281,39381,1837,39480,39580,39688,39787,39888,39988,40088,40187,40288,40387,1993,40488,40589,40607,40607,40607,40607,40607,40607,40608,40609,2093,40609,40611,40611,40614,40615,40615,40616,40619,40619,40619,2227,40619,40634,40634,40639,40640,40640,40640,40640,40640,40640,13,2425,40640,40640,40640,40640,40640,40648,40763,40864,40950,40950,2627,40952,40952,40953,40953,40953,40953,40953,40953,40953,41023,2825,41023,41023,41023,41024,41024,41026,41026,41026,41026,41026,3015,41026,41026,41026,41026,41052,41180,41199,41199,41199,41199,3118,41199,41199,41199,41199,41199,41200,41200,41200,41200,41200,3359,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,3659,41200,41200,41200,41200,41200,41200,41200,41200,41201,41201,3959,41201,41201,41201,41201,41202,41202,41202,41202,41202,41202,4259,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,4563,41202,41202,41202,41202,41202,41202,41202,41202,41202,41202,14,4866,41202,5167,5468,5771,6071,6371,6671,6971,7268,7570,14,7870,8173,8476,8793,9113,9414,9714,10015,10315,10615,18,10889,11090,11294,11565,11868,12172,12472,12769,13051,13314,21,13606,13807,14005,14205,14407,14580,14680,14781,14978,15179,21,15389,15592,15792,15994,16192,16394,16592,16792,16995,17193,23,17395,17594,17801,17908,18007,18110,18211,18321,18429,18629,97,18831,19031,19229,19429,19629,19831,20029,20229,20429,20629
